343.92,-6.761,1,113,15852
343.91,-6.759,1,113,15852
343.9,-6.769,1,113,15852
343.89,-6.776,1,113,15852
343.88,-6.78,1,113,15852
343.88,-6.778,1,113,15852
343.87,-6.784,1,113,15852
343.87,-6.787,1,113,15852
343.86,-6.805,1,113,15852
343.86,-6.794,1,113,15852
343.84,-6.793,1,113,15852
343.84,-6.8,1,113,15852
342.95,-5.196,1,113,15853
342.94,-5.204,1,113,15853
342.93,-5.207,1,113,15853
342.93,-5.213,1,113,15853
342.93,-5.215,1,113,15853
342.93,-5.231,1,113,15853
246.55,-6.889,1,6,39033
246.53,-6.886,1,6,39033
246.51,-6.879,1,6,39033
246.5,-6.877,1,6,39033
234.57,-9.541,1,18,59016
234.56,-9.543,1,18,59016
234.55,-9.549,1,18,59016
235.25,-11.548,1,6,59021
163.15,16.6,1,3,59046
163.12,16.61,1,3,59046
163.09,16.614,1,3,59046
163.07,16.606,1,3,59046
332.27,8.042,1,26,3.9001e+06
332.28,8.038,1,26,3.9001e+06
332.29,8.039,1,26,3.9001e+06
332.29,8.038,1,26,3.9001e+06
332.3,8.032,1,26,3.9001e+06
332.32,8.028,1,26,3.9001e+06
332.33,8.032,1,26,3.9001e+06
314.97,7.705,1,5,3.9001e+06
314.97,7.71,1,5,3.9001e+06
314.96,7.706,1,5,3.9001e+06
314.96,7.704,1,5,3.9001e+06
314.95,7.705,1,5,3.9001e+06
314.93,7.697,1,5,3.9001e+06
314.91,7.696,1,5,3.9001e+06
314.88,7.693,1,5,3.9001e+06
314.82,7.703,1,5,3.9001e+06
314.79,7.699,1,5,3.9001e+06
314.76,7.697,1,5,3.9001e+06
314.76,7.701,1,5,3.9001e+06
314.72,7.7,1,5,3.9001e+06
341.75,43.226,1,65,69001
341.75,43.229,1,65,69001
341.75,43.224,1,65,69001
341.75,43.224,1,65,69001
341.75,43.226,1,65,69001
341.75,43.226,1,65,69001
341.75,43.224,1,65,69001
341.78,43.224,1,65,69001
341.78,43.221,1,65,69001
341.72,42.033,1,32,69004
341.77,42.034,1,32,69004
341.77,42.034,1,32,69004
341.79,42.033,1,32,69004
341.8,42.025,1,32,69004
341.8,42.025,1,32,69004
341.85,42.016,1,32,69004
341.83,42.017,1,32,69004
341.85,42.007,1,32,69004
341.87,42.004,1,32,69004
341.86,42.001,1,32,69004
